NumberofFloors,NumberofBuildings,BUILDING_AGE,PropertyGFATotal,PropertyGFATotal-binned,Neighborhood,PropertyType,RATIO_ELECTRICITY,NaturalGas,SteamUse,OtherFuelUse,SiteEnergyUse(kBtu),GHGEmissions(MetricTonsCO2e),ENERGYSTARScore
1.0,1.0,56.0,32000.0,Small,GREATER DUWAMISH,Warehouse,30.76084,True,False,False,1072500.0,41.74,56.0
1.0,1.0,52.0,44000.0,Small,GREATER DUWAMISH,Warehouse,23.13108,True,False,False,4481010.0,190.17,13.0
1.0,1.0,49.0,36000.0,Small,GREATER DUWAMISH,Warehouse,25.48195,True,False,False,2687078.0,111.12,39.0
1.0,1.0,43.0,31360.0,Small,GREATER DUWAMISH,Warehouse,47.26072,True,False,False,1279570.0,40.06,
1.0,1.0,43.0,33320.0,Small,GREATER DUWAMISH,Warehouse,51.98641,True,False,False,2254220.0,65.65,
1.0,1.0,43.0,48020.0,Small,GREATER DUWAMISH,Warehouse,61.7184,True,False,False,2240549.0,55.2,73.0
1.0,1.0,43.0,27420.0,Small,GREATER DUWAMISH,Warehouse,46.66013,True,False,False,1126690.0,35.58,52.0
1.0,1.0,30.0,29394.0,Small,GREATER DUWAMISH,Warehouse,77.63127,True,False,False,1529309.0,26.45,57.0
2.0,1.0,96.0,20400.0,Small,GREATER DUWAMISH,Warehouse,56.94794,True,False,False,456747.0,12.26,62.0
2.0,1.0,97.0,25821.0,Small,GREATER DUWAMISH,Warehouse,97.74729,True,False,False,207572.0,1.66,
2.0,1.0,67.0,21870.0,Small,GREATER DUWAMISH,Warehouse,100.00415,False,False,False,1084233.0,7.56,53.0
1.0,1.0,34.0,51664.0,Small,GREATER DUWAMISH,Warehouse,77.05724,True,False,False,3494383.0,61.36,
2.0,1.0,40.0,36600.0,Small,DELRIDGE,Warehouse,100.00416,False,False,False,288191.0,2.01,83.0
1.0,1.0,81.0,48890.0,Small,GREATER DUWAMISH,Warehouse,53.12373,True,False,False,2101795.0,60.11,45.0
2.0,1.0,94.0,40800.0,Small,GREATER DUWAMISH,Warehouse,46.44615,True,False,False,744615.0,23.59,
2.0,1.0,84.0,41276.0,Small,GREATER DUWAMISH,Warehouse,39.51181,True,False,False,2062419.0,71.94,
2.0,1.0,85.0,24430.0,Small,GREATER DUWAMISH,Warehouse,73.19705,True,False,False,1297872.0,25.1,
1.0,1.0,96.0,20000.0,Small,CENTRAL,Warehouse,20.59211,True,False,False,554528.0,24.18,30.0
1.0,1.0,68.0,42000.0,Small,CENTRAL,Warehouse,29.92333,True,False,False,2034884.0,79.98,
1.0,1.0,60.0,24248.0,Small,CENTRAL,Warehouse,99.50641,True,False,False,108795.0,0.78,
1.0,1.0,90.0,24617.0,Small,GREATER DUWAMISH,Warehouse,100.00319,False,False,False,94186.0,0.66,98.0
2.0,1.0,122.0,52110.0,Small,GREATER DUWAMISH,Warehouse,32.78965,True,False,False,402136.0,15.27,48.0
2.0,1.0,32.0,71874.0,Medium,NORTHWEST,Warehouse,40.70172,True,False,False,1094622.0,37.58,
1.0,1.0,81.0,51050.0,Small,GREATER DUWAMISH,Warehouse,80.47322,True,False,False,1224554.0,19.57,5.0
1.0,1.0,70.0,16300.0,Small,GREATER DUWAMISH,Warehouse,66.55644,True,False,False,276107.0,6.19,98.0
1.0,1.0,58.0,33462.0,Small,GREATER DUWAMISH,Warehouse,100.00415,False,False,False,2147013.0,14.97,1.0
1.0,1.0,92.0,23903.0,Small,DOWNTOWN,Warehouse,33.50792,True,False,False,403800.0,15.2,89.0
3.0,1.0,75.0,22522.0,Small,NORTHEAST,Warehouse,17.79462,True,False,False,729535.0,32.76,
4.0,1.0,26.0,38959.0,Small,NORTHEAST,Warehouse,51.74998,True,False,False,1130097.0,33.04,
2.0,1.0,94.0,25955.0,Small,GREATER DUWAMISH,Warehouse,100.00414,False,False,False,1762174.0,12.28,
1.0,1.0,62.0,30000.0,Small,GREATER DUWAMISH,Warehouse,20.77105,True,False,False,3039889.0,132.32,22.0
1.0,1.0,60.0,45036.0,Small,GREATER DUWAMISH,Warehouse,50.25414,True,False,False,1976856.0,59.16,
1.0,1.0,55.0,27263.0,Small,GREATER DUWAMISH,Warehouse,100.00412,False,False,False,2453766.0,17.11,
1.0,1.0,60.0,31569.0,Small,GREATER DUWAMISH,Warehouse,27.81045,True,False,False,2708863.0,109.11,13.0
1.0,1.0,66.0,22509.0,Small,GREATER DUWAMISH,Warehouse,100.00378,False,False,False,132105.0,0.92,73.0
1.0,1.0,66.0,39984.0,Small,GREATER DUWAMISH,Warehouse,34.42377,True,False,False,1406987.0,52.38,64.0
2.0,1.0,66.0,28800.0,Small,GREATER DUWAMISH,Warehouse,59.19752,True,False,False,1150582.0,29.68,
2.0,1.0,104.0,28309.0,Small,MAGNOLIA / QUEEN ANNE,Warehouse,51.01967,True,False,False,429158.0,12.69,
2.0,1.0,54.0,29498.0,Small,MAGNOLIA / QUEEN ANNE,Warehouse,85.82426,True,False,False,3456208.0,46.71,
1.0,1.0,84.0,23050.0,Small,LAKE UNION,Warehouse,100.00406,False,False,False,492187.0,3.43,22.0
1.0,1.0,58.0,25000.0,Small,GREATER DUWAMISH,Warehouse,44.71363,True,False,False,1900577.0,61.73,
1.0,1.0,62.0,25000.0,Small,GREATER DUWAMISH,Warehouse,62.46494,True,False,False,242805.0,5.9,
3.0,1.0,28.0,66610.0,Medium,DELRIDGE,Warehouse,57.91664,True,False,False,614768.0,16.22,
2.0,1.0,81.0,22324.0,Small,GREATER DUWAMISH,Warehouse,36.63981,True,False,False,529072.0,19.16,52.0
1.0,1.0,50.0,29400.0,Small,NORTHWEST,Warehouse,100.00391,False,False,False,230365.0,1.61,68.0
2.0,1.0,43.0,78716.0,Medium,LAKE UNION,Warehouse,93.80065,True,False,False,4673827.0,45.96,24.0
4.0,1.0,116.0,43484.0,Small,DOWNTOWN,Warehouse,100.00411,False,False,False,1580597.0,11.02,18.0
1.0,1.0,84.0,40028.0,Small,LAKE UNION,Warehouse,99.61901,True,False,False,962238.0,6.88,78.0
1.0,1.0,62.0,44476.0,Small,GREATER DUWAMISH,Warehouse,85.5752,True,False,False,1177257.0,16.04,34.0
1.0,1.0,46.0,21040.0,Small,GREATER DUWAMISH,Warehouse,48.52007,True,False,False,604591.0,18.58,38.0
2.0,1.0,71.0,28032.0,Small,GREATER DUWAMISH,Warehouse,46.70316,True,False,False,1056740.0,33.35,61.0
1.0,1.0,48.0,25620.0,Small,GREATER DUWAMISH,Warehouse,41.89062,True,False,False,463371.0,15.65,83.0
3.0,1.0,30.0,33238.0,Small,DOWNTOWN,Warehouse,100.00413,False,False,False,1769137.0,12.33,11.0
3.0,1.0,101.0,23040.0,Small,MAGNOLIA / QUEEN ANNE,Warehouse,100.00401,False,False,False,524053.0,3.65,
1.0,1.0,45.0,24024.0,Small,GREATER DUWAMISH,Warehouse,100.00419,False,False,False,357915.0,2.5,
1.0,1.0,69.0,42420.0,Small,GREATER DUWAMISH,Warehouse,60.11721,True,False,False,805751.0,20.44,40.0
1.0,1.0,43.0,36982.0,Small,GREATER DUWAMISH,Warehouse,75.09169,True,False,False,338923.0,6.26,
2.0,1.0,58.0,23400.0,Small,GREATER DUWAMISH,Warehouse,100.004,False,False,False,449955.0,3.14,
1.0,1.0,50.0,23232.0,Small,GREATER DUWAMISH,Warehouse,100.004,False,False,False,174969.0,1.22,
1.0,1.0,48.0,35046.0,Small,GREATER DUWAMISH,Warehouse,79.35602,True,False,False,1030150.0,17.0,100.0
1.0,1.0,61.0,25577.0,Small,GREATER DUWAMISH,Warehouse,81.18214,True,False,False,979952.0,15.34,
1.0,1.0,48.0,43380.0,Small,GREATER DUWAMISH,Warehouse,100.00395,False,False,False,430500.0,3.0,85.0
2.0,1.0,102.0,23040.0,Small,EAST,Warehouse,91.85502,True,False,False,82824.0,0.89,98.0
2.0,1.0,64.0,61880.0,Medium,EAST,Warehouse,100.00403,False,False,False,571309.0,3.98,69.0
2.0,1.0,55.0,22058.0,Small,GREATER DUWAMISH,Warehouse,44.16502,True,False,False,1754069.0,57.42,1.0
1.0,1.0,52.0,22890.0,Small,GREATER DUWAMISH,Warehouse,89.96985,True,False,False,9489361.0,110.09,
1.0,1.0,51.0,28320.0,Small,GREATER DUWAMISH,Warehouse,57.69217,True,False,False,1817550.0,48.15,30.0
1.0,1.0,57.0,30800.0,Small,GREATER DUWAMISH,Warehouse,100.00412,False,False,False,583205.0,4.07,54.0
1.0,1.0,100.0,37400.0,Small,GREATER DUWAMISH,Warehouse,96.11384,True,False,False,876958.0,7.69,79.0
4.0,1.0,118.0,72859.0,Medium,GREATER DUWAMISH,Warehouse,91.70737,True,False,False,1524499.0,16.46,54.0
2.0,1.0,34.0,45700.0,Small,SOUTHEAST,Warehouse,95.7977,True,False,False,1507270.0,13.43,99.0
4.0,1.0,8.0,101580.0,Medium,SOUTHEAST,Warehouse,83.52054,True,False,False,850568.0,12.4,
1.0,1.0,67.0,66968.0,Medium,LAKE UNION,Warehouse,99.85669,True,False,False,1575581.0,11.09,1.0
1.0,1.0,70.0,27435.0,Small,SOUTHEAST,Warehouse,50.47997,True,False,False,1231546.0,36.72,49.0
1.0,1.0,72.0,20724.0,Small,GREATER DUWAMISH,Warehouse,16.56582,True,False,True,1832031.5,83.3,
1.0,1.0,53.0,25658.0,Small,NORTHWEST,Warehouse,76.66011,True,False,True,1063960.125,18.87,
1.0,1.0,67.0,52085.0,Small,GREATER DUWAMISH,Warehouse,20.32258,True,False,True,3605855.5,157.7,37.0
5.0,1.0,100.0,217603.0,Medium,SOUTHWEST,Health,26.55435,True,False,False,45494324.0,1858.84,50.0
2.0,1.0,52.0,93397.0,Medium,NORTHWEST,Health,35.41449,True,False,False,16371764.0,602.0,1.0
5.0,1.0,68.0,285333.0,Large,BALLARD,Health,50.99543,True,False,False,63362516.0,1874.42,28.0
10.0,1.0,69.0,879000.0,Large,NORTHEAST,Health,45.68148,True,False,False,251191824.0,8046.7,13.0
5.0,1.0,32.0,597519.0,Large,CENTRAL,Health,40.69882,True,False,False,137635696.0,4725.43,45.0
8.0,1.0,22.0,1158691.0,Large,EAST,Health,57.77021,True,True,False,295812640.0,10780.64,30.0
5.0,1.0,23.0,102796.0,Medium,DOWNTOWN,Health,74.8498,True,False,False,10620628.0,197.3,
7.0,1.0,22.0,351530.0,Large,LAKE UNION,Health,59.89341,True,False,False,46518024.0,1185.15,17.0
6.0,1.0,16.0,62334.0,Medium,EAST,Health,43.55507,True,False,False,1101695.0,36.37,100.0
2.0,1.0,56.0,34636.0,Small,BALLARD,Health,33.71575,True,False,False,10420096.0,391.32,8.0
2.0,1.0,56.0,48882.0,Small,SOUTHEAST,Health,41.68444,True,False,False,6592304.0,223.34,53.0
2.0,1.0,52.0,46539.0,Small,MAGNOLIA / QUEEN ANNE,Health,45.58118,True,False,False,5024837.0,161.2,79.0
14.0,1.0,16.0,724148.0,Large,LAKE UNION,Health,62.17383,True,False,False,36863348.0,900.39,12.0
2.0,1.0,68.0,51298.0,Small,NORTHWEST,Health,32.79218,True,False,False,6297193.0,239.17,81.0
5.0,1.0,24.0,43661.0,Small,NORTH,Health,69.05419,True,False,False,3922066.0,83.35,4.0
1.0,1.0,56.0,415632.0,Large,NORTHWEST,Health,45.04389,True,False,False,94178648.0,3044.63,88.0
6.0,1.0,13.0,244500.0,Medium,NORTH,Health,57.64211,True,False,False,11788719.0,312.59,99.0
6.0,1.0,53.0,95117.0,Medium,EAST,Health,58.62503,True,False,False,7374529.0,192.2,1.0
3.0,1.0,61.0,54863.0,Medium,SOUTHWEST,Health,100.00413,False,False,False,2057288.0,14.34,100.0
16.0,1.0,59.0,153312.0,Medium,EAST,Health,36.55248,True,False,False,18029644.0,653.5,30.0
1.0,1.0,55.0,141297.0,Medium,SOUTHEAST,Health,35.2525,True,False,False,18946990.0,698.11,69.0
2.0,1.0,61.0,55974.0,Medium,NORTHWEST,Health,45.23651,True,False,False,5948007.0,191.76,56.0
1.0,1.0,68.0,22583.0,Small,NORTH,Health,41.64258,True,False,False,1929011.0,65.39,94.0
2.0,1.0,35.0,74840.0,Medium,CENTRAL,Health,47.87039,True,False,False,8442782.0,261.93,48.0
8.0,1.0,9.0,330000.0,Large,NORTHEAST,Health,50.28892,True,False,False,48729588.0,1457.42,83.0
6.0,1.0,9.0,79805.0,Medium,CENTRAL,Health,63.37481,True,False,False,7369591.0,175.92,28.0
8.0,1.0,102.0,374466.0,Large,EAST,Health,39.42055,False,True,False,78652064.0,3894.01,97.0
3.0,1.0,33.0,197395.0,Medium,DOWNTOWN,Health,73.67296,True,False,False,3681105.0,70.38,
3.0,1.0,41.0,78374.0,Medium,SOUTHEAST,Health,99.99998,False,False,True,3321035.75,23.15,98.0
2.0,1.0,93.0,58320.0,Medium,LAKE UNION,Retail Store,35.03398,True,False,False,1074180.0,39.69,95.0
4.0,1.0,57.0,124342.0,Medium,NORTH,Retail Store,99.13427,True,False,False,8835104.0,65.14,75.0
1.0,1.0,56.0,64984.0,Medium,DELRIDGE,Retail Store,89.032,True,False,False,2721646.0,32.75,76.0
1.0,1.0,57.0,67745.0,Medium,DELRIDGE,Retail Store,31.546,True,False,False,9560965.0,368.63,31.0
2.0,1.0,44.0,89200.0,Medium,NORTHEAST,Retail Store,89.82259,True,False,False,6289567.0,73.39,83.0
1.0,1.0,66.0,60880.0,Medium,NORTHWEST,Retail Store,61.68122,True,False,False,13320624.0,328.38,60.0
2.0,1.0,42.0,291940.0,Large,SOUTHEAST,Retail Store,87.36227,True,False,False,11541355.0,147.77,84.0
4.0,1.0,108.0,79957.0,Medium,DOWNTOWN,Retail Store,100.00414,False,False,False,5680701.0,39.6,34.0
3.0,1.0,93.0,3.0,Medium,DOWNTOWN,Retail Store,98.97231,True,False,False,16644664.0,123.96,97.0
1.0,1.0,17.0,158415.0,Medium,GREATER DUWAMISH,Retail Store,71.08775,True,False,False,23364636.0,474.59,23.0
1.0,1.0,23.0,164437.0,Medium,BALLARD,Retail Store,77.33047,True,False,False,18622292.0,324.63,61.0
2.0,1.0,27.0,308965.0,Large,NORTH,Retail Store,71.82249,True,False,False,14583160.0,291.28,57.0
1.0,1.0,14.0,63225.0,Medium,GREATER DUWAMISH,Retail Store,100.00417,False,False,False,6619941.0,46.15,100.0
1.0,1.0,25.0,131387.0,Medium,NORTHWEST,Retail Store,89.13758,True,False,False,7261732.0,87.03,82.0
1.0,1.0,38.0,144776.0,Medium,NORTHWEST,Retail Store,77.11986,True,False,False,13146645.0,230.45,57.0
1.0,1.0,55.0,114000.0,Medium,NORTHWEST,Retail Store,53.8669,True,False,False,11511880.0,325.3,96.0
1.0,1.0,25.0,50083.0,Small,NORTHWEST,Retail Store,76.20004,True,False,False,8611054.0,154.6,78.0
1.0,1.0,56.0,50200.0,Small,GREATER DUWAMISH,Retail Store,54.25935,True,False,False,989975.0,27.8,
2.0,1.0,35.0,69492.0,Medium,NORTHEAST,Retail Store,100.00416,False,False,False,408513.0,2.85,100.0
1.0,1.0,19.0,58184.0,Medium,NORTHWEST,Retail Store,56.37638,True,False,False,13924967.0,377.36,48.0
1.0,1.0,42.0,58480.0,Medium,NORTH,Retail Store,54.00241,True,False,False,11639369.0,328.17,39.0
4.0,1.0,26.0,264008.0,Large,LAKE UNION,Retail Store,75.22695,True,False,False,10020111.0,184.4,40.0
2.0,1.0,72.0,302812.0,Large,NORTH,Retail Store,79.94214,True,False,False,7133767.0,115.76,97.0
2.0,1.0,57.0,168619.0,Medium,NORTH,Retail Store,85.89461,True,False,False,6576563.0,88.66,76.0
1.0,1.0,20.0,61053.0,Medium,SOUTHEAST,Retail Store,63.23655,True,False,False,13440924.0,321.71,33.0
1.0,1.0,29.0,107930.0,Medium,GREATER DUWAMISH,Retail Store,86.48121,True,False,False,7015692.0,92.68,58.0
1.0,1.0,49.0,56572.0,Medium,GREATER DUWAMISH,Retail Store,54.62019,True,False,False,2184912.0,60.98,70.0
1.0,1.0,17.0,94713.0,Medium,DELRIDGE,Retail Store,80.23295,True,False,False,5230553.0,84.18,79.0
1.0,1.0,14.0,57176.0,Medium,MAGNOLIA / QUEEN ANNE,Retail Store,58.66215,True,False,False,12037792.0,313.53,32.0
1.0,1.0,44.0,50660.0,Small,MAGNOLIA / QUEEN ANNE,Retail Store,73.27057,True,False,False,2394843.0,46.23,53.0
6.0,1.0,112.0,86204.0,Medium,DOWNTOWN,Retail Store,66.47581,True,False,False,3165109.0,71.03,
1.0,1.0,52.0,141890.0,Medium,NORTHWEST,Retail Store,77.751,True,False,False,17109052.0,294.93,95.0
4.0,1.0,93.0,78920.0,Medium,DOWNTOWN,Retail Store,85.5251,True,False,False,10513817.0,143.53,67.0
3.0,1.0,82.0,83118.0,Medium,DOWNTOWN,Retail Store,92.44214,True,False,False,2643948.0,27.66,51.0
3.0,1.0,98.0,77555.0,Medium,DOWNTOWN,Retail Store,95.92923,True,False,False,8063959.0,71.38,39.0
1.0,1.0,30.0,102500.0,Medium,DELRIDGE,Retail Store,69.25193,True,False,False,7323351.0,154.96,80.0
1.0,1.0,59.0,50785.0,Small,GREATER DUWAMISH,Retail Store,62.03463,True,False,False,7144738.0,174.97,59.0
2.0,1.0,66.0,93803.0,Medium,NORTHEAST,Retail Store,74.81782,True,False,False,6211441.0,115.48,
1.0,1.0,27.0,101830.0,Medium,NORTHWEST,Retail Store,60.41177,True,False,False,10416934.0,262.9,58.0
1.0,1.0,64.0,74178.0,Medium,GREATER DUWAMISH,Retail Store,63.34214,True,False,False,5229981.0,124.92,54.0
3.0,1.0,26.0,119190.0,Medium,EAST,Retail Store,61.12903,True,False,False,9586556.0,238.77,75.0
2.0,1.0,105.0,147545.0,Medium,DOWNTOWN,Retail Store,58.80385,True,False,False,7196194.0,186.96,59.0
1.0,1.0,54.0,48139.0,Small,NORTHWEST,Retail Store,61.45803,True,False,False,767213.0,18.99,98.0
1.0,1.0,26.0,25735.0,Small,NORTHEAST,Retail Store,84.6248,True,False,False,1231145.0,17.32,89.0
2.0,1.0,66.0,25862.0,Small,NORTHEAST,Retail Store,44.59652,True,False,False,5462958.0,177.74,13.0
2.0,1.0,19.0,49965.0,Small,NORTHEAST,Retail Store,96.82105,True,False,False,3466461.0,29.26,80.0
2.0,1.0,116.0,46800.0,Small,DOWNTOWN,Retail Store,100.00417,False,False,False,2087998.0,14.56,54.0
2.0,1.0,91.0,26270.0,Small,DOWNTOWN,Retail Store,69.38597,True,False,False,1770198.0,37.35,22.0
1.0,1.0,97.0,24825.0,Small,DOWNTOWN,Retail Store,44.1395,True,False,False,387279.0,12.68,
2.0,1.0,66.0,39265.0,Small,NORTHEAST,Retail Store,95.79158,True,False,False,5528223.0,49.28,
2.0,1.0,66.0,54284.0,Medium,NORTHEAST,Retail Store,95.52664,True,False,False,7008252.0,63.33,16.0
1.0,1.0,66.0,23409.0,Small,NORTHEAST,Retail Store,92.71813,True,False,False,2520919.0,26.05,67.0
1.0,1.0,25.0,63153.0,Medium,NORTHEAST,Retail Store,95.55297,True,False,False,4917420.0,44.38,
3.0,1.0,122.0,32960.0,Small,NORTHEAST,Retail Store,100.00416,False,False,False,889225.0,6.2,64.0
2.0,1.0,76.0,25762.0,Small,SOUTHWEST,Retail Store,100.00413,False,False,False,2347893.0,16.37,100.0
1.0,1.0,108.0,20000.0,Small,GREATER DUWAMISH,Retail Store,100.00423,False,False,False,662658.0,4.62,63.0
1.0,1.0,60.0,25159.0,Small,MAGNOLIA / QUEEN ANNE,Retail Store,54.78004,True,False,False,9074520.0,252.6,38.0
1.0,1.0,69.0,39900.0,Small,GREATER DUWAMISH,Retail Store,40.15465,True,False,False,866622.0,29.97,30.0
2.0,1.0,106.0,25920.0,Small,DOWNTOWN,Retail Store,100.00427,False,False,False,468776.0,3.27,37.0
2.0,1.0,103.0,25920.0,Small,DOWNTOWN,Retail Store,87.60611,True,False,False,1090545.0,13.84,90.0
2.0,1.0,111.0,20516.0,Small,LAKE UNION,Retail Store,28.46672,True,False,False,946147.0,37.82,99.0
3.0,1.0,116.0,27480.0,Small,LAKE UNION,Retail Store,100.00417,False,False,False,1270139.0,8.85,86.0
1.0,1.0,24.0,26115.0,Small,NORTHWEST,Retail Store,74.35295,True,False,False,1605522.0,30.19,42.0
2.0,1.0,102.0,26400.0,Small,DOWNTOWN,Retail Store,83.33896,True,False,False,1049088.0,15.38,27.0
4.0,1.0,122.0,34680.0,Small,DOWNTOWN,Retail Store,65.25057,True,False,False,1200811.0,27.63,92.0
1.0,1.0,107.0,36504.0,Small,DOWNTOWN,Retail Store,94.21885,True,False,False,2139713.0,20.63,5.0
2.0,1.0,58.0,45271.0,Small,LAKE UNION,Retail Store,52.8169,True,False,False,2540153.0,73.01,50.0
3.0,1.0,29.0,25194.0,Small,LAKE UNION,Retail Store,59.45447,True,False,False,1468882.0,37.72,
1.0,1.0,47.0,33005.0,Small,NORTHEAST,Retail Store,67.69951,True,False,False,11007235.0,240.79,20.0
2.0,1.0,30.0,38845.0,Small,GREATER DUWAMISH,Retail Store,50.0148,True,False,False,6454983.0,193.87,84.0
1.0,1.0,69.0,26092.0,Small,GREATER DUWAMISH,Retail Store,70.46875,True,False,False,7067404.0,145.57,48.0
2.0,1.0,64.0,56193.0,Medium,GREATER DUWAMISH,Retail Store,75.10302,True,False,False,2474457.0,45.68,38.0
1.0,1.0,56.0,29214.0,Small,BALLARD,Retail Store,69.94942,True,False,False,8739511.0,182.11,13.0
1.0,1.0,22.0,89103.0,Medium,BALLARD,Retail Store,59.53703,True,False,False,13943008.0,357.52,32.0
1.0,1.0,26.0,23500.0,Small,BALLARD,Retail Store,94.48907,True,False,False,1152890.0,10.97,48.0
1.0,1.0,55.0,22420.0,Small,BALLARD,Retail Store,66.08138,True,False,False,1482752.0,33.54,79.0
1.0,1.0,61.0,25842.0,Small,MAGNOLIA / QUEEN ANNE,Retail Store,57.28038,True,False,False,9501494.0,253.53,19.0
1.0,1.0,33.0,32810.0,Small,BALLARD,Retail Store,65.87552,True,False,False,1983755.0,45.07,66.0
1.0,1.0,57.0,24982.0,Small,NORTH,Retail Store,100.00413,False,False,False,702385.0,4.9,89.0
1.0,1.0,56.0,41615.0,Small,NORTH,Retail Store,100.00417,False,False,False,2063212.0,14.38,63.0
1.0,1.0,57.0,21603.0,Small,GREATER DUWAMISH,Retail Store,70.48992,True,False,False,5807879.0,119.57,16.0
1.0,1.0,28.0,45522.0,Small,BALLARD,Retail Store,56.89513,True,False,False,13010578.0,349.47,18.0
2.0,1.0,43.0,20088.0,Small,NORTHWEST,Retail Store,100.00416,False,False,False,336461.0,2.35,
1.0,1.0,63.0,67450.0,Medium,SOUTHEAST,Retail Store,63.81407,True,False,False,10851443.0,256.84,1.0
2.0,1.0,20.0,54211.0,Medium,GREATER DUWAMISH,Retail Store,100.0041,False,False,False,1147582.0,8.0,100.0
1.0,1.0,78.0,25880.0,Small,GREATER DUWAMISH,Retail Store,100.00416,False,False,False,312563.0,2.18,99.0
2.0,1.0,71.0,24000.0,Small,GREATER DUWAMISH,Retail Store,53.71217,True,False,False,1098965.0,31.13,
2.0,1.0,64.0,20738.0,Small,NORTH,Retail Store,100.00422,False,False,False,497991.0,3.47,44.0
1.0,1.0,54.0,36071.0,Small,SOUTHEAST,Retail Store,30.59194,True,False,False,3773723.0,147.16,69.0
1.0,1.0,47.0,43794.0,Small,GREATER DUWAMISH,Retail Store,81.29872,True,False,False,1115020.0,17.4,86.0
1.0,1.0,57.0,32822.0,Small,NORTHEAST,Retail Store,59.09042,True,False,False,9143764.0,236.34,43.0
1.0,1.0,49.0,24377.0,Small,NORTHEAST,Retail Store,60.33692,True,False,False,9620496.0,243.13,7.0
1.0,1.0,36.0,45155.0,Small,NORTHWEST,Retail Store,64.89618,True,False,False,6781960.0,157.13,6.0
1.0,1.0,70.0,26853.0,Small,NORTHEAST,Retail Store,86.31791,True,False,False,1452804.0,19.3,63.0
1.0,1.0,32.0,40265.0,Small,DELRIDGE,Retail Store,95.67616,True,False,False,3766813.0,33.78,17.0
1.0,1.0,17.0,26208.0,Small,DELRIDGE,Retail Store,72.85183,True,False,False,1456039.0,28.39,80.0
1.0,1.0,69.0,51000.0,Small,NORTHWEST,Retail Store,91.98535,True,False,False,1348717.0,14.39,94.0
1.0,1.0,58.0,37247.0,Small,GREATER DUWAMISH,Retail Store,43.78327,True,False,False,1645030.0,54.14,74.0
1.0,1.0,29.0,25384.0,Small,BALLARD,Retail Store,73.72336,True,False,False,2483099.0,47.42,16.0
1.0,1.0,56.0,37883.0,Small,SOUTHEAST,Retail Store,50.26403,True,False,False,10591549.0,316.9,93.0
2.0,1.0,24.0,21200.0,Small,CENTRAL,Retail Store,100.00416,False,False,False,1728794.0,12.05,13.0
1.0,1.0,42.0,30630.0,Small,CENTRAL,Retail Store,93.41818,True,False,False,6507500.0,65.14,27.0
2.0,1.0,42.0,23421.0,Small,CENTRAL,Retail Store,100.00412,False,False,False,1966028.0,13.71,22.0
2.0,1.0,68.0,21900.0,Small,GREATER DUWAMISH,Retail Store,59.8312,True,False,False,1111487.0,28.35,39.0
1.0,1.0,92.0,46059.0,Small,NORTHEAST,Retail Store,89.96551,True,False,False,1692851.0,19.64,77.0
2.0,1.0,106.0,36940.0,Small,EAST,Retail Store,100.00399,False,False,False,651493.0,4.54,98.0
1.0,1.0,102.0,30240.0,Small,EAST,Retail Store,85.27631,True,False,False,1244824.0,17.14,78.0
1.0,1.0,24.0,44739.0,Small,EAST,Retail Store,57.27981,True,False,False,14544535.0,388.09,18.0
2.0,1.0,112.0,24750.0,Small,EAST,Retail Store,36.99127,True,False,False,811870.0,29.26,
4.0,1.0,69.0,33910.0,Small,NORTHEAST,Retail Store,72.94972,True,False,False,1853271.0,36.05,72.0
1.0,1.0,65.0,28808.0,Small,LAKE UNION,Retail Store,59.16003,True,False,False,9617898.0,248.29,28.0
1.0,1.0,72.0,26226.0,Small,NORTHEAST,Retail Store,72.23152,True,False,False,7492939.0,148.25,39.0
2.0,1.0,105.0,24550.0,Small,DOWNTOWN,Retail Store,41.49297,True,False,False,181491.0,6.16,100.0
1.0,1.0,25.0,31841.0,Small,SOUTHWEST,Retail Store,49.8874,True,False,False,12204922.0,367.29,
1.0,1.0,24.0,33706.0,Small,SOUTHWEST,Retail Store,63.36782,True,False,False,8758063.0,209.09,24.0
1.0,1.0,25.0,76585.0,Medium,NORTHEAST,Retail Store,60.709,True,False,False,14019615.0,351.9,16.0
1.0,1.0,26.0,44755.0,Small,NORTH,Retail Store,57.79227,True,False,False,12577336.0,332.63,35.0
3.0,1.0,22.0,54969.0,Medium,DOWNTOWN,Retail Store,87.89002,True,False,False,3326999.0,41.79,76.0
3.0,1.0,31.0,103000.0,Medium,DOWNTOWN,Retail Store,77.69015,True,False,False,2218249.0,38.3,100.0
1.0,1.0,14.0,37864.0,Small,SOUTHWEST,Retail Store,68.14113,True,False,False,8286855.0,179.59,57.0
2.0,1.0,72.0,66497.0,Medium,EAST,Retail Store,97.57837,True,False,False,8610878.0,69.67,91.0
4.0,1.0,16.0,34010.0,Small,MAGNOLIA / QUEEN ANNE,Retail Store,100.00415,False,False,False,3467070.0,24.17,4.0
4.0,1.0,16.0,45980.0,Small,MAGNOLIA / QUEEN ANNE,Retail Store,62.76456,True,False,False,8381744.0,202.44,81.0
3.0,1.0,26.0,45743.0,Small,EAST,Retail Store,79.88244,True,False,False,5762597.0,93.67,85.0
1.0,1.0,11.0,51400.0,Small,NORTH,Retail Store,59.79266,True,False,False,11645414.0,297.23,75.0
4.0,1.0,19.0,33997.0,Small,MAGNOLIA / QUEEN ANNE,Retail Store,91.58165,True,False,False,9159185.0,99.44,23.0
